date,HA,ID_HA,province,POP_2021,ICU,acute_rate7,disch_rate14_LAG3,ward_rate_LAG2
02/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,13.36302895,37.57420906,36.32173543
03/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,13.30472103,34.44302497,38.20044588
04/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,12.88343558,35.69549861,43.21034042
05/11/2020,H.A. ÁVILA,1701,Ávila,159684,7,12.13307241,35.06926179,43.21034042
06/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,11.74242424,32.56431452,45.08905088
07/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,11.21157324,32.56431452,42.5841036
08/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,10.80139373,40.70539315,43.21034042
09/11/2020,H.A. ÁVILA,1701,Ávila,159684,11,10.82910321,40.07915633,51.97765587
10/11/2020,H.A. ÁVILA,1701,Ávila,159684,12,11.11111111,39.45291952,51.35141905
11/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,11.23966942,41.95786679,52.60389269
12/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,11.58238173,43.21034042,48.84647178
13/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,11.50159744,45.08905088,45.71528769
14/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,11.64274322,50.09894542,45.71528769
15/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,11.46496815,49.4727086,50.72518223
16/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,11.32376396,52.60389269,51.97765587
17/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,11.04,55.10883996,52.60389269
18/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,10.82802548,56.36131359,52.60389269
19/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,10.66878981,56.98755041,48.84647178
20/11/2020,H.A. ÁVILA,1701,Ávila,159684,8,10.55194805,61.37120814,48.22023496
21/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,10.96121417,63.24991859,46.34152451
22/11/2020,H.A. ÁVILA,1701,Ávila,159684,11,11.75438596,58.24002405,44.46281406
23/11/2020,H.A. ÁVILA,1701,Ávila,159684,11,12.40875912,61.37120814,37.57420906
24/11/2020,H.A. ÁVILA,1701,Ávila,159684,12,13.25757576,63.87615541,36.94797225
25/11/2020,H.A. ÁVILA,1701,Ávila,159684,12,14.39842209,62.62368177,38.20044588
26/11/2020,H.A. ÁVILA,1701,Ávila,159684,12,15.86638831,61.37120814,35.06926179
27/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,17.10526316,61.37120814,33.19055134
28/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,17.48878924,56.36131359,26.92818316
29/11/2020,H.A. ÁVILA,1701,Ávila,159684,10,17.70114943,59.49249768,28.80689361
30/11/2020,H.A. ÁVILA,1701,Ávila,159684,9,17.81472684,55.73507678,31.31184089
01/12/2020,H.A. ÁVILA,1701,Ávila,159684,10,17.98029557,53.85636632,30.68560407
02/12/2020,H.A. ÁVILA,1701,Ávila,159684,9,17.5879397,51.97765587,30.68560407
03/12/2020,H.A. ÁVILA,1701,Ávila,159684,8,16.54135338,51.97765587,26.92818316
04/12/2020,H.A. ÁVILA,1701,Ávila,159684,7,15.98984772,53.23012951,30.05936725
05/12/2020,H.A. ÁVILA,1701,Ávila,159684,7,15.95744681,48.84647178,30.05936725
06/12/2020,H.A. ÁVILA,1701,Ávila,159684,7,15.83333333,49.4727086,27.55441998
07/12/2020,H.A. ÁVILA,1701,Ávila,159684,6,15.69767442,46.34152451,21.91828862
08/12/2020,H.A. ÁVILA,1701,Ávila,159684,6,15.10574018,44.46281406,22.54452544
09/12/2020,H.A. ÁVILA,1701,Ávila,159684,6,14.96815287,43.21034042,22.54452544
10/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,14.33333333,43.83657724,21.2920518
11/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,13.79310345,40.70539315,21.2920518
12/12/2020,H.A. ÁVILA,1701,Ávila,159684,3,12.63157895,36.32173543,23.79699907
13/12/2020,H.A. ÁVILA,1701,Ávila,159684,3,11.55234657,31.31184089,23.17076226
14/12/2020,H.A. ÁVILA,1701,Ávila,159684,3,10.66176471,31.9380777,21.2920518
15/12/2020,H.A. ÁVILA,1701,Ávila,159684,3,9.77443609,35.06926179,20.03957817
16/12/2020,H.A. ÁVILA,1701,Ávila,159684,3,8.88030888,34.44302497,21.2920518
17/12/2020,H.A. ÁVILA,1701,Ávila,159684,3,8.906882591,33.81678816,19.41334135
18/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,9.243697479,30.05936725,18.78710453
19/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,10.0877193,30.05936725,16.90839408
20/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,10.90909091,28.80689361,17.5346309
21/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,11.9047619,25.67570953,14.40344681
22/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,12.74509804,23.17076226,14.40344681
23/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,13.63636364,23.79699907,14.40344681
24/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,14.65968586,23.17076226,15.02968363
25/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,15.38461538,21.91828862,14.40344681
26/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,15.90909091,22.54452544,11.89849954
27/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,16.56804734,21.91828862,11.89849954
28/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,17.39130435,20.66581498,10.6460259
29/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,18.66666667,17.5346309,10.01978908
30/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,20,17.5346309,9.393552266
31/12/2020,H.A. ÁVILA,1701,Ávila,159684,4,20.58823529,18.16086771,8.14107863
01/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,20.61068702,16.28215726,8.14107863
02/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,20.3125,15.65592044,9.393552266
03/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,19.53125,15.65592044,9.393552266
04/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,18.18181818,16.28215726,9.393552266
05/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,16.78832117,13.15097317,10.6460259
06/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,15.17241379,12.52473635,12.52473635
07/01/2021,H.A. ÁVILA,1701,Ávila,159684,2,13.07189542,12.52473635,11.89849954
08/01/2021,H.A. ÁVILA,1701,Ávila,159684,2,11.72839506,14.40344681,13.77720999
09/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,10.79545455,13.77720999,15.65592044
10/01/2021,H.A. ÁVILA,1701,Ávila,159684,3,10,11.89849954,15.65592044
11/01/2021,H.A. ÁVILA,1701,Ávila,159684,4,9.708737864,13.77720999,18.16086771
12/01/2021,H.A. ÁVILA,1701,Ávila,159684,4,9.333333333,14.40344681,19.41334135
13/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,10.04016064,13.77720999,21.91828862
14/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,10.98901099,13.15097317,23.17076226
15/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,11.47540984,13.77720999,26.30194634
16/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,11.3372093,13.15097317,27.55441998
17/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,10.85271318,13.77720999,32.56431452
18/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,10.16166282,15.02968363,40.07915633
19/01/2021,H.A. ÁVILA,1701,Ávila,159684,8,9.657947686,17.5346309,44.46281406
20/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,8.495575221,19.41334135,49.4727086
21/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,7.523510972,20.03957817,60.74497132
22/01/2021,H.A. ÁVILA,1701,Ávila,159684,8,6.930693069,19.41334135,68.88604995
23/01/2021,H.A. ÁVILA,1701,Ávila,159684,8,6.45994832,22.54452544,73.26970767
24/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,5.980861244,26.30194634,75.14841813
25/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,5.698324022,31.31184089,81.4107863
26/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,5.179704017,36.94797225,83.28949676
27/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,4.848484848,43.21034042,85.79444403
28/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,4.545454545,47.59399815,93.93552266
29/01/2021,H.A. ÁVILA,1701,Ávila,159684,6,4.197761194,54.48260314,97.06670675
30/01/2021,H.A. ÁVILA,1701,Ávila,159684,8,4.117108875,61.37120814,101.4503645
31/01/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.129263914,64.50239222,100.1978908
01/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.05643739,72.64347085,94.56175947
02/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,4.035087719,85.79444403,95.81423311
03/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,4.05643739,88.2993913,98.31918038
04/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.196428571,89.55186493,97.69294356
05/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.343891403,96.44046993,93.30928584
06/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.327808471,105.2077854,92.0568122
07/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.404873477,108.3389695,90.17810175
08/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.463437797,110.8439167,83.28949676
09/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,4.655674103,117.7325217,83.91573357
10/02/2021,H.A. ÁVILA,1701,Ávila,159684,8,4.930966469,114.6013376,89.55186493
11/02/2021,H.A. ÁVILA,1701,Ávila,159684,8,5.156723964,111.4701536,83.28949676
12/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,5.306971904,113.9751008,81.4107863
13/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,5.513513514,114.6013376,75.77465494
14/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,5.743243243,117.1062849,72.64347085
15/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,5.952380952,113.9751008,60.74497132
16/02/2021,H.A. ÁVILA,1701,Ávila,159684,5,6.099110546,112.7226272,60.74497132
17/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,6.344827586,109.5914431,60.1187345
18/02/2021,H.A. ÁVILA,1701,Ávila,159684,7,6.756756757,109.5914431,51.35141905
19/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,7.177814029,111.4701536,43.83657724
20/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,7.504363002,107.7127326,39.45291952
21/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,7.90960452,104.5815486,40.07915633
22/02/2021,H.A. ÁVILA,1701,Ávila,159684,6,8.553971487,100.1978908,36.32173543
23/02/2021,H.A. ÁVILA,1701,Ávila,159684,5,9.110629067,94.56175947,35.06926179
24/02/2021,H.A. ÁVILA,1701,Ávila,159684,4,9.029345372,92.68304902,35.06926179
25/02/2021,H.A. ÁVILA,1701,Ávila,159684,4,8.665105386,93.30928584,32.56431452
26/02/2021,H.A. ÁVILA,1701,Ávila,159684,4,8.728179551,86.42068084,33.81678816
27/02/2021,H.A. ÁVILA,1701,Ávila,159684,4,8.8,80.15831267,31.31184089
28/02/2021,H.A. ÁVILA,1701,Ávila,159684,3,8.547008547,77.02712858,25.04947271
01/03/2021,H.A. ÁVILA,1701,Ávila,159684,4,8.484848485,75.77465494,21.2920518
02/03/2021,H.A. ÁVILA,1701,Ávila,159684,3,8.441558442,64.50239222,21.91828862
03/03/2021,H.A. ÁVILA,1701,Ávila,159684,3,8.802816901,63.87615541,23.17076226
